meter_name,read_at,unit,value
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,24/05/2020 00:00:00 +1000,kWh,17.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,25/05/2020 00:00:00 +1000,kWh,7.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,26/05/2020 00:00:00 +1000,kWh,37.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,27/05/2020 00:00:00 +1000,kWh,25.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,28/05/2020 00:00:00 +1000,kWh,25.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,29/05/2020 00:00:00 +1000,kWh,28.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,30/05/2020 00:00:00 +1000,kWh,19.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,31/05/2020 00:00:00 +1000,kWh,2.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,01/06/2020 00:00:00 +1000,kWh,23.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,02/06/2020 00:00:00 +1000,kWh,19.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,03/06/2020 00:00:00 +1000,kWh,19.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,04/06/2020 00:00:00 +1000,kWh,24.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,05/06/2020 00:00:00 +1000,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,06/06/2020 00:00:00 +1000,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,07/06/2020 00:00:00 +1000,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,08/06/2020 00:00:00 +1000,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,09/06/2020 00:00:00 +1000,kWh,26.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,10/06/2020 00:00:00 +1000,kWh,22.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,11/06/2020 00:00:00 +1000,kWh,24.2
