meter_name,read_at,unit,value
Submeter - UBI: Building NP - Solar generated - Device 1813,01/04/2020 00:00:00 +1100,,
Submeter - UBI: Building NP - Solar generated - Device 1813,02/04/2020 00:00:00 +1100,,
Submeter - UBI: Building NP - Solar generated - Device 1813,03/04/2020 00:00:00 +1100,,
Submeter - UBI: Building NP - Solar generated - Device 1813,04/04/2020 00:00:00 +1100,,
Submeter - UBI: Building NP - Solar generated - Device 1813,05/04/2020 00:00:00 +1100,,
Submeter - UBI: Building NP - Solar generated - Device 1813,06/04/2020 00:00:00 +1000,,
Submeter - UBI: Building NP - Solar generated - Device 1813,07/04/2020 00:00:00 +1000,,
Submeter - UBI: Building NP - Solar generated - Device 1813,08/04/2020 00:00:00 +1000,,
Submeter - UBI: Building NP - Solar generated - Device 1813,09/04/2020 00:00:00 +1000,kWh,98.5
Submeter - UBI: Building NP - Solar generated - Device 1813,10/04/2020 00:00:00 +1000,kWh,0.0
Submeter - UBI: Building NP - Solar generated - Device 1813,11/04/2020 00:00:00 +1000,kWh,206.6
Submeter - UBI: Building NP - Solar generated - Device 1813,12/04/2020 00:00:00 +1000,kWh,55.5
Submeter - UBI: Building NP - Solar generated - Device 1813,13/04/2020 00:00:00 +1000,kWh,0.2
Submeter - UBI: Building NP - Solar generated - Device 1813,14/04/2020 00:00:00 +1000,kWh,158.3
Submeter - UBI: Building NP - Solar generated - Device 1813,15/04/2020 00:00:00 +1000,kWh,105.2
Submeter - UBI: Building NP - Solar generated - Device 1813,16/04/2020 00:00:00 +1000,kWh,95.7
Submeter - UBI: Building NP - Solar generated - Device 1813,17/04/2020 00:00:00 +1000,kWh,87.1
Submeter - UBI: Building NP - Solar generated - Device 1813,18/04/2020 00:00:00 +1000,kWh,67.9
Submeter - UBI: Building NP - Solar generated - Device 1813,19/04/2020 00:00:00 +1000,kWh,120.9
Submeter - UBI: Building NP - Solar generated - Device 1813,20/04/2020 00:00:00 +1000,kWh,99.1
Submeter - UBI: Building NP - Solar generated - Device 1813,21/04/2020 00:00:00 +1000,kWh,106.3
Submeter - UBI: Building NP - Solar generated - Device 1813,22/04/2020 00:00:00 +1000,kWh,69.7
Submeter - UBI: Building NP - Solar generated - Device 1813,23/04/2020 00:00:00 +1000,kWh,63.5
Submeter - UBI: Building NP - Solar generated - Device 1813,24/04/2020 00:00:00 +1000,kWh,126.9
Submeter - UBI: Building NP - Solar generated - Device 1813,25/04/2020 00:00:00 +1000,kWh,79.8
Submeter - UBI: Building NP - Solar generated - Device 1813,26/04/2020 00:00:00 +1000,kWh,86.6
Submeter - UBI: Building NP - Solar generated - Device 1813,27/04/2020 00:00:00 +1000,kWh,90.3
Submeter - UBI: Building NP - Solar generated - Device 1813,28/04/2020 00:00:00 +1000,kWh,95.1
Submeter - UBI: Building NP - Solar generated - Device 1813,29/04/2020 00:00:00 +1000,kWh,22.7
Submeter - UBI: Building NP - Solar generated - Device 1813,30/04/2020 00:00:00 +1000,kWh,81.4
Submeter - UBI: Building NP - Solar generated - Device 1813,01/05/2020 00:00:00 +1000,kWh,87.7
Submeter - UBI: Building NP - Solar generated - Device 1813,02/05/2020 00:00:00 +1000,kWh,92.0
Submeter - UBI: Building NP - Solar generated - Device 1813,03/05/2020 00:00:00 +1000,kWh,57.4
Submeter - UBI: Building NP - Solar generated - Device 1813,04/05/2020 00:00:00 +1000,kWh,60.8
Submeter - UBI: Building NP - Solar generated - Device 1813,05/05/2020 00:00:00 +1000,kWh,118.9
Submeter - UBI: Building NP - Solar generated - Device 1813,06/05/2020 00:00:00 +1000,kWh,85.2
Submeter - UBI: Building NP - Solar generated - Device 1813,07/05/2020 00:00:00 +1000,kWh,47.4
Submeter - UBI: Building NP - Solar generated - Device 1813,08/05/2020 00:00:00 +1000,kWh,78.8
Submeter - UBI: Building NP - Solar generated - Device 1813,09/05/2020 00:00:00 +1000,kWh,64.9
Submeter - UBI: Building NP - Solar generated - Device 1813,10/05/2020 00:00:00 +1000,kWh,84.4
Submeter - UBI: Building NP - Solar generated - Device 1813,11/05/2020 00:00:00 +1000,kWh,90.8
Submeter - UBI: Building NP - Solar generated - Device 1813,12/05/2020 00:00:00 +1000,kWh,79.1
Submeter - UBI: Building NP - Solar generated - Device 1813,13/05/2020 00:00:00 +1000,kWh,84.1
Submeter - UBI: Building NP - Solar generated - Device 1813,14/05/2020 00:00:00 +1000,kWh,83.0
Submeter - UBI: Building NP - Solar generated - Device 1813,15/05/2020 00:00:00 +1000,kWh,93.7
Submeter - UBI: Building NP - Solar generated - Device 1813,16/05/2020 00:00:00 +1000,kWh,108.8
Submeter - UBI: Building NP - Solar generated - Device 1813,17/05/2020 00:00:00 +1000,kWh,106.5
Submeter - UBI: Building NP - Solar generated - Device 1813,18/05/2020 00:00:00 +1000,kWh,102.5
Submeter - UBI: Building NP - Solar generated - Device 1813,19/05/2020 00:00:00 +1000,kWh,37.8
Submeter - UBI: Building NP - Solar generated - Device 1813,20/05/2020 00:00:00 +1000,kWh,105.9
Submeter - UBI: Building NP - Solar generated - Device 1813,21/05/2020 00:00:00 +1000,kWh,82.9
Submeter - UBI: Building NP - Solar generated - Device 1813,22/05/2020 00:00:00 +1000,kWh,50.2
